No,keyword,category
1,liên minh công lý: phiên bản của zack snyder,Action
2,sao băng,Romantic
3,nữ thanh tra tài ba,K-dramma
4,fairy tail,Anime
5,giữa thanh xuân,C-dramma
6,bắt ma phá án,K-dramma
7,running man,Show
8,naruto,Anime
9,why her?,Romantic
10,siêu nhân,Cartoon
11,hội pháp sư,Anime
12,vẻ đẹp đích thực,Romantic
13,vô tình nhặt được tổng tài,C-dramma
14,thiên nga bóng đêm,Romantic
15,doraemon,Anime
16,tôi thấy hoa vàng trên cỏ xanh,Romantic
17,shooting stars,Romantic
18,chàng hậu,Romantic
19,boruto,Anime
20,conan,Anime
21,yêu nhầm chị dâu,Romantic
22,thử thách thần tượng - running man,Show
23,eve,Romantic
24,cuộc chiến thượng lưu,K-dramma
25,em là thành trì doanh lũy của anh,C-dramma
26,cảnh đẹp ngày vui biết bao giờ,Romantic
27,bolero,Music
28,tìm kiếm bằng giọng nói,Search
29,one punch man,Anime
30,thanh gươm diệt quỷ: phần kỹ viện trấn,Anime
31,mộng hoa lục,C-dramma
32,jujutsu kaisen,Anime
33,tại sao lại là oh soo jae?,Romantic
34,true beauty,Romantic
35,yêu tinh,Romantic
36,lưỡi gươm diệt quỷ,Anime
37,bạn trai tôi là hồ ly,K-dramma
38,prime provider,Care
39,cô nàng trong trắng oh woo ri,Romantic
40,penthouse 2,K-dramma
41,lấy danh nghĩa người nhà,Family
42,thử thách thần tượng,Show
43,lưu ly mỹ nhân sát,C-dramma
44,sakura - thủ lĩnh thẻ bài,Anime
45,người thầy y đức,Romantic
46,thương ngày nắng về,Family
47,kimetsu no yaiba,Anime
48,hàng xóm của tôi không chịu lớn,Romantic
49,vườn sao băng,K-dramma
50,yêu trong đau thương,Family
51,why her,Romantic
52,trữ tình,Music
53,pokemon,Anime
54,hoa du ký,Romantic
55,chú thuật hồi chiến,Anime
56,mây họa ánh trăng,K-dramma
57,one piece,Anime
58,thiếu nhi,Cartoon
59,penthouse 3,K-dramma
60,attack on titan (season 4),Anime
61,nỗi vương vấn của hạ tiên sinh,Romantic
62,hoa của quỷ,Horror 
63,anime,Anime
64,black clover,Anime
65,tái sinh báo thù,Action
66,hậu duệ mặt trời,K-dramma
67,dr. stone,Anime
68,bleach,Anime
69,nhất kiến khuynh tâm,Romantic
70,gửi thời thanh xuân ngây thơ tươi đẹp,Romantic
71,hậu cung như ý truyện,C-dramma
72,yêu em từ cái nhìn đầu tiên,Romantic
73,cổ tay áo màu đỏ,Romantic
74,hương mật tựa khói sương,C-dramma
75,em đẹp nhất là khi mỉm cười,C-dramma
76,hẹn hò chốn công sở,Romantic
77,đại chiến titan,Anime
78,cá mực hầm mật,Romantic
79,con tim sắt đá,T-dramma
80,haikyuu,Anime
81,một con vịt,Music
82,pháp y tần minh: người đọc tâm,C-dramma
83,tấm cám: chuyện chưa kể,Action
84,em và trịnh,Romantic
85,thư ký kim sao thế?,Romantic
86,thanh xuân vật vã,Romantic
87,chuyển sinh thành nhện,Anime
88,kết hôn rồi bắt đầu yêu,Romantic
89,cô nàng đầu bếp của tôi,T-dramma
90,tay súng hàng đầu,Action
91,thiên nga bóng đêm - eve,Romantic
92,phim hoạt hình,Cartoon
93,thanh gươm diệt quỷ: chuyến tàu vô tận,Anime
94,penthouse,K-dramma
95,pháp y tần minh,C-dramma
96,"taxi, em tên gì?",Comedy
97,đông cung,Romantic
98,thế giới động vật,Science
99,keep running,Show
100,boruto: naruto the movie,Anime
101,youtube,Search
102,tiên nữ cử tạ kim bok joo,K-dramma
103,lang quân 100 ngày,K-dramma
104,minh lan truyện,C-dramma
105,học viện anh hùng (phần 5),Anime
106,vân tịch truyện,Romantic
107,lê hấp đường phèn,Romantic
108,attack on titan (final season),Anime
109,tiểu nương tử nhà tướng quân,Romantic
110,thế giới hôn nhân,K-dramma
111,cuối cùng cũng đến lượt tôi yêu,Romantic
112,huyền thoại biển xanh,Romantic
113,your name,Anime
114,cuộc chiến,Action
115,mouse,Action
116,người đẹp tóc mây,Cartoon
117,thẩm phán ác ma,K-dramma
118,kênh vtv1,Search
119,bằng chứng thép,C-dramma
120,attack on titan part 1,Anime
121,tokyo ghoul:re,Anime
122,thiên nga đen,Horror 
123,tây du ký,Action
124,người nhện: không còn nhà,Action
125,mị nguyệt truyện,C-dramma
126,nhất dạ tân nương,Comedy
127,phim ma,Horror 
128,biệt đội siêu anh hùng,Action
129,baki,Anime
130,cuộc chiến thượng lưu 3,K-dramma
131,baby shark,Music
132,mr. queen,K-dramma
133,võ mỵ nương truyền kỳ,History
134,chuyển sinh thành slime,Anime
135,danh sách mua sắm của kẻ sát nhân,Action
136,goblin,K-dramma
137,harry potter,Action
138,nhanh và nguy hiểm 9,Action
139,nhật ký thường ngày của tiên vương,K-dramma
140,khách sạn ma quái,K-dramma
141,minh châu rực rỡ,K-dramma
142,thủ lĩnh thẻ bài,Anime
143,overlord ii,Game
144,karaoke,Music
145,ca nhạc,Music
146,spy x family,Anime
147,cùng em đi đến tận cùng thế giới,C-dramma
148,phàm nhân tu tiên,Action
149,thanh gươm diệt quỷ,Anime
150,kairos,Action
